time_s,linear_x,angular_z,marker,flag
2942.2848,-0.89,-0.2909,driving,
2942.2927,-0.89,-0.5468,driving,
2942.3002,-0.89,-0.5647,driving,
2942.3067,-0.89,-0.5927,driving,
2942.3154,-0.89,-0.6319,driving,
2942.3219,-0.89,-0.6709,driving,
2942.3225,-0.8438,-0.6709,driving,
2942.3309,-0.8438,-0.71,driving,
2942.3316,-0.8304,-0.71,driving,
2942.3387,-0.8304,-0.7462,driving,
2942.3394,-0.8004,-0.7462,driving,
2942.3447,-0.8004,-0.7761,driving,
2942.3449,-0.5729,-0.7761,driving,
2942.3521,-0.5729,-0.7995,driving,
2942.3523,-0.5512,-0.7995,driving,
2942.3602,-0.5512,-0.8081,driving,
2942.3612,-0.3125,-0.8081,driving,
2942.3677,-0.2817,-0.8081,driving,
2942.3752,-0.2817,-0.783,driving,
2942.3760,-0.0152,-0.783,driving,
2942.3813,-0.0152,-0.5447,driving,
2942.3815,-0.0,-0.5447,driving,
2942.3903,-0.0,-0.5158,driving,
2942.3909,0.0133,-0.5158,driving,
2942.3968,0.0133,-0.2357,driving,
2942.3974,0.0435,-0.2357,driving,
2942.4054,0.0435,-0.2198,driving,
2942.4060,0.0842,-0.2198,driving,
2942.4120,0.0842,-0.2025,driving,
2942.4126,0.3096,-0.2025,driving,
2942.4206,0.3096,-0.1865,driving,
2942.4212,0.3198,-0.1865,driving,
2942.4270,0.3198,-0.1727,driving,
2942.4276,0.3372,-0.1727,driving,
2942.4357,0.3372,-0.1611,driving,
2942.4363,0.3694,-0.1611,driving,
2942.4428,0.3694,-0.1519,driving,
2942.4430,0.588,-0.1519,driving,
2942.4497,0.588,-0.1443,driving,
2942.4503,0.6048,-0.1443,driving,
2942.4574,0.6048,-0.1385,driving,
2942.4580,0.6387,-0.1385,driving,
2942.4649,0.6387,-0.1336,driving,
2942.4656,0.89,-0.1336,driving,
2942.4725,0.89,-0.1296,driving,
2942.4801,0.89,-0.122,driving,
2942.4886,0.89,-0.1049,driving,
2942.4950,0.89,-0.0755,driving,
2942.5026,0.89,-0.0318,driving,
2942.5103,0.89,-0.0,driving,
2942.5328,0.89,-0.0,driving,
2942.5550,0.89,-0.0,driving,
2942.5776,0.89,-0.0,driving,
2942.5999,0.89,0.0305,driving,
2942.6075,0.89,0.0716,driving,
2942.6152,0.89,0.1159,driving,
2942.6227,0.89,0.3521,driving,
2942.6301,0.89,0.3596,driving,
2942.6375,0.89,0.3717,driving,
2942.6451,0.89,0.3881,driving,
2942.6526,0.89,0.4067,driving,
2942.6601,0.89,0.4259,driving,
2942.6665,0.89,0.4463,driving,
2942.6751,0.89,0.4673,driving,
2942.6825,0.89,0.489,driving,
2942.6902,0.89,0.5101,driving,
2942.6967,0.89,0.5293,driving,
2942.7053,0.89,0.5466,driving,
2942.7118,0.89,0.5628,driving,
2942.7205,0.89,0.578,driving,
2942.7268,0.89,0.5925,driving,
2942.7355,0.89,0.607,driving,
2942.7429,0.89,0.6222,driving,
2942.7507,0.89,0.6381,driving,
2942.7572,0.89,0.6545,driving,
2942.7646,0.89,0.6728,driving,
2942.7720,0.89,0.6914,driving,
2942.7806,0.89,0.7092,driving,
2942.7870,0.89,0.7283,driving,
2942.7957,0.89,0.7467,driving,
2942.8022,0.89,0.7651,driving,
2942.8098,0.89,0.7837,driving,
2942.8174,0.89,0.8018,driving,
2942.8260,0.89,0.82,driving,
2942.8325,0.89,0.8372,driving,
2942.8332,0.8693,0.8372,driving,
2942.8401,0.8693,0.8556,driving,
2942.8407,0.8636,0.8556,driving,
2942.8477,0.8636,0.8727,driving,
2942.8483,0.8541,0.8727,driving,
2942.8553,0.8541,0.8911,driving,
2942.8559,0.8394,0.8911,driving,
2942.8613,0.8394,0.9105,driving,
2942.8615,0.8212,0.9105,driving,
2942.8698,0.8212,1.0,driving,
2942.8700,0.7975,1.0,driving,
2942.8772,0.7722,1.0,driving,
2942.8847,0.7451,1.0,driving,
2942.8921,0.7175,1.0,driving,
2942.8995,0.6895,1.0,driving,
2942.9069,0.6609,1.0,driving,
2942.9144,0.6291,1.0,driving,
2942.9218,0.5959,1.0,driving,
2942.9298,0.5613,1.0,driving,
2942.9373,0.5268,1.0,driving,
2942.9449,0.4939,1.0,driving,
2942.9525,0.4644,1.0,driving,
2942.9601,0.4368,1.0,driving,
2942.9676,0.4117,1.0,driving,
2942.9753,0.3882,1.0,driving,
2942.9818,0.3676,1.0,driving,
2942.9963,0.3323,1.0,driving,
2943.0048,0.3183,1.0,driving,
2943.0127,0.3063,1.0,driving,
2943.0197,0.2966,1.0,driving,
2943.0272,0.2886,1.0,driving,
2943.0346,0.2824,1.0,driving,
2943.0420,0.2775,1.0,driving,
2943.0494,0.2735,1.0,driving,
2943.0569,0.2705,1.0,driving,
2943.0648,0.2681,1.0,driving,
2943.0793,0.2648,1.0,driving,
2943.0957,0.2638,1.0,driving,
2943.1160,0.2638,1.0,driving,
2943.1551,0.2638,1.0,driving,
2943.1751,0.2638,1.0,driving,
2943.1957,0.2638,1.0,driving,
2943.2155,0.2638,1.0,driving,
2943.2362,0.2638,1.0,driving,
2943.2672,0.2706,1.0,driving,
2943.2744,0.279,1.0,driving,
2943.2818,0.2883,1.0,driving,
2943.2903,0.2989,1.0,driving,
2943.2971,0.3109,1.0,driving,
2943.3057,0.3245,1.0,driving,
2943.3122,0.3408,1.0,driving,
2943.3198,0.3639,1.0,driving,
2943.3273,0.3917,1.0,driving,
2943.3349,0.4229,1.0,driving,
2943.3420,0.4599,1.0,driving,
2943.3494,0.501,1.0,driving,
2943.3568,0.7334,1.0,driving,
2943.3643,0.7466,1.0,driving,
2943.3717,0.7466,0.9634,driving,
2943.3719,0.7735,0.9634,driving,
2943.3805,0.7735,0.9536,driving,
2943.3811,0.89,0.9536,driving,
2943.3871,0.89,0.9308,driving,
2943.3957,0.89,0.8954,driving,
2943.4022,0.89,0.6556,driving,
2943.4098,0.89,0.6384,driving,
2943.4174,0.89,0.6032,driving,
2943.4249,0.89,0.5573,driving,
2943.4325,0.89,0.2477,driving,
2943.4399,0.89,0.2318,driving,
2943.4475,0.89,0.2021,driving,
2943.4552,0.89,0.1667,driving,
2943.4627,0.89,0.1258,driving,
2943.4703,0.89,0.083,driving,
2943.4768,0.89,0.0364,driving,
2943.4854,0.89,-0.0,driving,
2943.5069,0.89,-0.0,driving,
2943.5306,0.89,-0.0,driving,
2943.5371,0.89,-0.0272,driving,
2943.5457,0.89,-0.0575,driving,
2943.5521,0.89,-0.0869,driving,
2943.5597,0.89,-0.1157,driving,
2943.5673,0.89,-0.1429,driving,
2943.5749,0.89,-0.1679,driving,
2943.5824,0.89,-0.1931,driving,
2943.5900,0.89,-0.2206,driving,
2943.5976,0.89,-0.2546,driving,
2943.6052,0.89,-0.2934,driving,
2943.6127,0.89,-0.3363,driving,
2943.6203,0.89,-0.3786,driving,
2943.6268,0.89,-0.4235,driving,
2943.6354,0.89,-0.4692,driving,
2943.6419,0.89,-0.5135,driving,
2943.6506,0.89,-0.5587,driving,
2943.6571,0.89,-0.6036,driving,
2943.6655,0.89,-0.6458,driving,
2943.6721,0.89,-0.683,driving,
2943.6797,0.89,-0.7197,driving,
2943.6872,0.89,-0.7551,driving,
2943.6948,0.89,-0.7905,driving,
2943.7024,0.89,-0.8259,driving,
2943.7100,0.89,-0.8585,driving,
2943.7176,0.89,-1.0,driving,
2943.7380,0.89,-1.0,driving,
2943.7777,0.8645,-1.0,driving,
2943.7852,0.8577,-1.0,driving,
2943.7917,0.8441,-1.0,driving,
2943.8004,0.8248,-1.0,driving,
2943.8069,0.7995,-1.0,driving,
2943.8157,0.7696,-1.0,driving,
2943.8220,0.7369,-1.0,driving,
2943.8307,0.7035,-1.0,driving,
2943.8372,0.6678,-1.0,driving,
2943.8448,0.6314,-1.0,driving,
2943.8524,0.5922,-1.0,driving,
2943.8600,0.5511,-1.0,driving,
2943.8675,0.513,-1.0,driving,
2943.8751,0.4783,-1.0,driving,
2943.8827,0.4462,-1.0,driving,
2943.8903,0.4163,-1.0,driving,
2943.8967,0.3881,-1.0,driving,
2943.9054,0.3611,-1.0,driving,
2943.9119,0.3362,-1.0,driving,
2943.9205,0.3143,-1.0,driving,
2943.9271,0.2943,-1.0,driving,
2943.9357,0.2763,-1.0,driving,
2943.9422,0.2606,-1.0,driving,
2943.9498,0.2461,-1.0,driving,
2943.9572,0.2329,-1.0,driving,
2943.9648,0.2214,-1.0,driving,
2943.9722,0.212,-1.0,driving,
2943.9799,0.2042,-1.0,driving,
2943.9875,0.1971,-1.0,driving,
2943.9950,0.1911,-1.0,driving,
2944.0021,0.1859,-1.0,driving,
2944.0107,0.1804,-1.0,driving,
2944.0172,0.1741,-1.0,driving,
2944.0248,0.1666,-1.0,driving,
2944.0323,0.1593,-1.0,driving,
2944.0397,0.1526,-1.0,driving,
2944.0473,0.1466,-1.0,driving,
2944.0547,0.1407,-1.0,driving,
2944.0624,0.1348,-1.0,driving,
2944.0697,0.1288,-1.0,driving,
2944.0772,0.1226,-1.0,driving,
2944.0847,0.1171,-1.0,driving,
2944.0922,0.1126,-1.0,driving,
2944.0997,0.109,-1.0,driving,
2944.1072,0.106,-1.0,driving,
2944.1143,0.1037,-1.0,driving,
2944.1302,0.1007,-1.0,driving,
2944.1455,0.0997,-1.0,driving,
2944.1654,0.0997,-1.0,driving,
2944.1816,0.1018,-1.0,driving,
2944.1903,0.1109,-1.0,driving,
2944.1968,0.1259,-1.0,driving,
2944.2052,0.1435,-1.0,driving,
2944.2118,0.1673,-1.0,driving,
2944.2205,0.2006,-1.0,driving,
2944.2270,0.421,-1.0,driving,
2944.2356,0.4434,-1.0,driving,
2944.2421,0.6673,-1.0,driving,
